Graph addvar/addexpr lines
2 100001
x soma.v( 0.5 ) dend[310].v( 0.5 )
4.375	-58.6561	-58.9231
4.4	-58.6151	-58.8823
4.425	-58.5742	-58.8416
4.45	-58.5335	-58.8011
4.475	-58.493	-58.7607
4.5	-58.4526	-58.7205
4.525	-58.4123	-58.6805
4.55	-58.3722	-58.6406
4.575	-58.3323	-58.6008
4.6	-58.2925	-58.5612
4.625	-58.2528	-58.5217
4.65	-58.2133	-58.4824
4.675	-58.1739	-58.4432
4.7	-58.1346	-58.4042
4.725	-58.0955	-58.3653
4.75	-58.0565	-58.3265
4.775	-58.0177	-58.2878
4.8	-57.979	-58.2494
4.825	-57.9404	-58.211
4.85	-57.9019	-58.1727
4.875	-57.8636	-58.1346
4.9	-57.8254	-58.0967
4.925	-57.7873	-58.0588
4.95	-57.7493	-58.0211
4.975	-57.7115	-57.9835
5	-57.6737	-57.946
5.025	-57.6361	-57.9086
5.05	-57.5986	-57.8714
5.075	-57.5612	-57.8343
5.1	-57.5239	-57.7972
5.125	-57.4868	-57.7604
5.15	-57.4497	-57.7236
5.175	-57.4128	-57.6869
5.2	-57.3759	-57.6503
5.225	-57.3392	-57.6139
5.25	-57.3026	-57.5775
5.275	-57.266	-57.5413
5.3	-57.2296	-57.5051
5.325	-57.1932	-57.4691
5.35	-57.157	-57.4331
5.375	-57.1208	-57.3973
5.4	-57.0848	-57.3615
5.425	-57.0488	-57.3259
5.45	-57.0129	-57.2903
5.475	-56.9771	-57.2549
5.5	-56.9414	-57.2195
5.525	-56.9058	-57.1842
5.55	-56.8703	-57.149
5.575	-56.8348	-57.1139
5.6	-56.7994	-57.0788
5.625	-56.7641	-57.0439
5.65	-56.7289	-57.009
5.675	-56.6938	-56.9742
5.7	-56.6587	-56.9395
5.725	-56.6237	-56.9049
5.75	-56.5887	-56.8703
5.775	-56.5539	-56.8358
5.8	-56.5191	-56.8014
5.825	-56.4843	-56.767
5.85	-56.4497	-56.7327
5.875	-56.4151	-56.6985
5.9	-56.3805	-56.6644
5.925	-56.346	-56.6303
5.95	-56.3116	-56.5963
5.975	-56.2772	-56.5623
6	-56.2428	-56.5284
6.025	-56.2086	-56.4945
6.05	-56.1743	-56.4607
6.075	-56.1401	-56.427
6.1	-56.106	-56.3933
6.125	-56.0719	-56.3596
6.15	-56.0378	-56.326
6.175	-56.0038	-56.2925
6.2	-55.9698	-56.2589
6.225	-55.9359	-56.2255
6.25	-55.902	-56.192
6.275	-55.8681	-56.1586
6.3	-55.8343	-56.1253
6.325	-55.8004	-56.092
6.35	-55.7667	-56.0587
6.375	-55.7329	-56.0254
6.4	-55.6991	-55.9922
6.425	-55.6654	-55.959
6.45	-55.6317	-55.9258
